date,original,trend,seasonal,residual
2024-12-03,43.7242,,,
2024-12-04,43.8238,,,
2024-12-05,43.7043,,,
2024-12-06,43.8146,,,
2024-12-07,43.8146,,,
2024-12-08,43.8146,,,
2024-12-09,43.8567,,,
2024-12-10,43.8525,,,
2024-12-11,43.8215,,,
2024-12-12,43.7997,,,
2024-12-13,43.7042,,,
2024-12-14,43.7042,,,
2024-12-15,43.7042,,,
2024-12-16,43.7373,,,
2024-12-17,43.8064,,,
2024-12-18,43.9143,,,
2024-12-19,43.9581,,,
2024-12-20,43.577,,,
2024-12-21,43.577,,,
2024-12-22,43.577,,,
2024-12-23,43.5114,,,
2024-12-24,43.6454,,,
2024-12-25,43.6334,,,
2024-12-26,43.5159,,,
2024-12-27,43.5122,,,
2024-12-28,43.5122,,,
2024-12-29,43.5122,,,
2024-12-30,43.7479,,,
2024-12-31,43.9266,,,
2025-01-01,43.6855,,,
2025-01-02,43.6052,,,
2025-01-03,43.3753,,,
2025-01-04,43.3753,,,
2025-01-05,43.3753,,,
2025-01-06,43.3347,,,
2025-01-07,43.9091,,,
2025-01-08,43.8767,,,
2025-01-09,43.4272,,,
2025-01-10,43.5594,,,
2025-01-11,43.5594,,,
2025-01-12,43.5594,,,
2025-01-13,43.5738,,,
2025-01-14,43.1273,,,
2025-01-15,43.3218,,,
2025-01-16,43.5297,,,
2025-01-17,43.32,,,
2025-01-18,43.32,,,
2025-01-19,43.32,,,
2025-01-20,43.3684,,,
2025-01-21,43.4998,,,
2025-01-22,43.6419,,,
2025-01-23,43.8735,,,
2025-01-24,43.6709,,,
2025-01-25,43.6709,,,
2025-01-26,43.6709,,,
2025-01-27,43.9168,,,
2025-01-28,44.146,,,
2025-01-29,43.7843,,,
2025-01-30,43.6192,,,
2025-01-31,43.5097,,,
2025-02-01,43.5097,,,
2025-02-02,43.5097,,,
2025-02-03,43.3244,,,
2025-02-04,42.8627,,,
2025-02-05,43.117,,,
2025-02-06,43.4081,,,
2025-02-07,42.9792,,,
2025-02-08,42.9792,,,
2025-02-09,42.9792,,,
2025-02-10,43.0327,,,
2025-02-11,42.8955,,,
2025-02-12,43.0114,,,
2025-02-13,43.3557,,,
2025-02-14,43.4361,,,
2025-02-15,43.4361,,,
2025-02-16,43.4361,,,
2025-02-17,43.5907,,,
2025-02-18,43.5168,,,
2025-02-19,43.4661,,,
2025-02-20,43.4737,,,
2025-02-21,43.5511,,,
2025-02-22,43.5511,,,
2025-02-23,43.5511,,,
2025-02-24,43.5093,,,
2025-02-25,43.6448,,,
2025-02-26,43.7892,,,
2025-02-27,43.6252,,,
2025-02-28,43.4942,,,
2025-03-01,43.4942,,,
2025-03-02,43.4942,,,
2025-03-03,43.1134,,,
2025-03-04,43.5417,,,
2025-03-05,43.8775,,,
2025-03-06,44.2493,,,
2025-03-07,44.5596,,,
2025-03-08,44.5596,,,
2025-03-09,44.5596,,,
2025-03-10,44.7281,,,
2025-03-11,44.7716,,,
2025-03-12,45.2141,,,
2025-03-13,45.1644,,,
2025-03-14,45.0007,,,
2025-03-15,45.0007,,,
2025-03-16,45.0007,,,
2025-03-17,45.2291,,,
2025-03-18,45.1649,,,
2025-03-19,45.3483,,,
2025-03-20,45.3229,,,
2025-03-21,45.0014,,,
2025-03-22,45.0014,,,
2025-03-23,45.0014,,,
2025-03-24,44.9807,,,
